Darija (Arabic),Darija (Arabizi),Arabic Standard,English
,,لم يعر أي اهتمام لتحذيري.,He paid no attention to my warning.
,,لم يعر أي اهتمام لنصيحتي.,He paid no attention to my advice.
,,لم يعر أي اهتمام لما قالت.,He paid no attention to what she said.
,,لم يحضر الاجتماع طلاب كثر.,Not many students attended the meeting.
,,لا يوجد ما يدعو للإعتذار.,There is nothing to apologize for.
,,لنتوقف عن تضييع الوقت في الجدال بشأن ذلك.,Let's not waste time arguing about it.
,,ليس لدي أيُ شأنٍ في هذا الأمر.,I have nothing to do with the matter.
,,لا يوجد آثار حياة فوق سطح كوكب المريخ.,There is no sign of life on Mars.
,,لا أثر لوجود حياة على سطح كوكب المريخ.,There is no sign of life on Mars.
,,لم يسمح لي أن أقود سيارته إطلاقاً.,He wouldn't allow me to drive his car.
,,أنا لم أذُقِ الطعامَ منذُ أيامٍ.,I haven't eaten anything for days.
,,لم أكن أعلم بأنه على توم فعل ذلك.,I wasn't aware Tom should do that.
,,لم أرغب ابدا في الواقع أن أذهب إلى هناك.,I never actually wanted to go there.
,,عادةً ما نفطر السابعة و النصف صباحاً.,We usually have breakfast at 7:30.
,,بالرغم من فقره إلا أنه تغمره السعادة.,"Even though he was poor, he was happy."
,,أرسلت لي أمي هدية لعيد ميلادي.,My mother sent me a birthday present.
,,والدتي لا تتحدث الإنجليزية بشكل جيد جداً.,My mom doesn't speak English very well.
,,أمي تعد كعكة لأبي.,My mother is making my father a cake.
,,لا أعرف شيئاً عن ماضيه.,I don't know anything about his past.
,,لا يمكنني مساعدتك لأني مشغول.,I can't help you because I'm busy.
,,هل لديك أي مجلات يابانية؟,Do you have any Japanese magazines?
,,لا يمكنني التركيز عندما تكون هنا.,I can't concentrate while you're here.
,,لا نستطيع النوم بسبب الضجيج.,We can't sleep because of the noise.
,,لن أتركك تفلت بهذه السهولة.,I won't let you slip away so easily.
,,لا يمكنني احتمال الضجيج أكثر من ذلك.,I can't bear the noise any longer.
,,لا أستطيع أن أحتمل ذلك الصوت المزعج أكثر من ذلك.,I can't bear the noise any longer.
,,لا أتذكر بأنني طلبت منك أن تبدي رأيك,I don't remember asking for your opinion.
,,لا أشك في قدرته على فعلها.,I don't doubt his ability to do it.
,,أنا لستُ في وضع يسمح بأن أقبلها.,I'm not in a position to accept it.
,,لا أريدك أن تقلق بشأني.,I don't want you to worry about me.
,,أنا لست لطيفًا كما تظنني.,I'm not as nice as you think I am.
,,أنا لن ألومه على الحادث.,I will not blame him for the accident.
,,لن أطلب المساعدة من توم مرة أخرى.,I'll never ask Tom for help again.
,,هل هذه أول زيارة لك للمدينة؟,Is this your first visit to this town?
,,لن نحمي توم للأبد.,We can't protect Tom indefinitely.
,,لا أريد البكاء أمام توم.,I didn't want to cry in front of Tom.
,,لا أفهم ما تقوله.,I can't understand what you're saying.
,,أنا حتىَ لستُ متأكداً إن كان هذا مفتاحي.,I'm not even sure if this is my key.
,,أحياناً تعد أختي العشاء.,My sister sometimes makes our dinner.
,,سجّل ما تنفق.,Keep a record of how much you spend.
,,يظهر أن ماري ملّتْ من هذه اللعبة.,Mary seems to be bored with the game.
,,زوجتي خائفة من قيادة سيارة جديدة.,My wife is afraid to drive my new car.
,,أخرجت ماري الكعكات من الفرن.,Mary took the cookies out of the oven.
,,نظرت ماري إلى نفسها في المرآة.,Mary looked at herself in the mirror.
,,ابتاعت ماري فستانًا جديدًا للحفلة.,Mary bought a new dress for the party.
,,أنا لم أرىَ شيئاً مثل ذلك.,I've never seen anything like that.
,,لا أعتقد أنها ستفهم.,I don't believe she would understand.
,,لقد توفي وهو يقاتل في حرب فيتنام.,He died fighting in the Vietnam War.
,,لا تعاملني وكأني طفل.,Don't treat me as if I were a child.
,,لا تقل شيئًا قبل التفكير فيه.,Don't say anything without thinking.
,,لا تقولي شيئًا قبل التفكير فيه.,Don't say anything without thinking.
,,إنها لا تعرف شيئاً عن عائلتك.,She knows nothing about your family.
,,"أنتِ لا يمكنكِ تحدث الإنجليزية, هل يمكنكِ؟","You can't speak English, can you?"
,,"أنتَ لا يمكنك تحدث الإنجليزية, هل يمكنك؟","You can't speak English, can you?"
,,لن تصدّق ما قاله لي توم!,You won't believe what Tom told me!
,,لن تصدّقي ما قاله لي توم!,You won't believe what Tom told me!
,,لا تنس أن لدينا واجباً.,Don't forget that we have homework.
,,ألا يمكنك أن تأجلها إلى الغد؟,Can't you put it off until tomorrow?
,,لا تنسى إطفاء كل المصابيح قبل النوم.,Don't forget to turn off all the lights before going to bed.
,,لم أُنهِ واجباتي بعد.,I haven't finished my homework yet.
,,ما يزال يذكر اليوم الذي اكتشفت فيه أمه أنه يدخن.,He still remembers the day his mother found out he was smoking.
,,لقد أعطى دمه لكى يساعد أخته.,He gave his blood to help his sister.
,,ليس من السهل حل المشكلة.,It is not easy to solve the problem.
,,بعد البرق جاء الرعد.,"After the lightning, came the thunder."
,,عادة ما أتمشى كل صباح.,I usually go for a walk every morning.
,,سأساعدك في الفرنسية إذا ساعدتني في الانجليزية.,"I'll help you with your French, if you help me with my English."
,,أحبّ دراسة اللّغات الأجنبيّة.,I like to study foreign languages.
,,أحب صوت الغيث أثناء هطوله علی السقف.,I love the sound of rain on the roof.
,,عندي معرفة بهذا الجوار.,I am familiar with this neighborhood.
,,نهض من النوم في الساعة الثامنة صباحاً.,He got up at eight in the morning.
,,سيسعدني أن أساعدك في أي وقت.,I will be glad to help you anytime.
,,سأنزل عند المحطة القادمة.,I'm getting off at the next station.
,,ظننتك تملك معايير أسمى.,I thought you had higher standards.
,,كثيراً ما ألعب معه التنس.,I would often play tennis with him.
,,أيمكنني أن أتصفح دليل الهاتف؟,May I see the telephone directory?
,,أيمكنني الحصول على قطعة من تلك الكعكة؟,Could I get a little piece of that cake?
,,أقرأ على الأقل كتاباً واحداً في الشهر.,I read at least one book every month.
,,أعمل كل يوم عدا يوم الأحد.,I work every day except for Sundays.
,,أعمل كل يوم إلا يوم الأحد.,I work every day except for Sundays.
,,أحتاج بصلة واحدة فقط لهذه الوصفة.,I only need one onion for this recipe.
,,نحتاج منك أن تساعدنا هذا المساء.,We need you to help us this afternoon.
,,أستمع إلى الراديو كل ليلة.,I listen to the radio every night.
,,سأنصحك نصيحة مفيدة.,I'll give you a good piece of advice.
,,ليس من المفترض بك أن تدخن هنا.,You are not supposed to smoke here.
,,نساء فرنسا جميلات.,The women of France are beautiful.
,,فلنسألها عندما تعود إلى المنزل.,Let's ask her when she gets back home.
,,راقب الجزء الخلفي . ساراقب انا الجزء الامامي.,Watch the rear. I'll watch the front.
,,كل ما عليك فعله هو بذل جهدك.,All you have to do is try your best.
,,أنتَ جلبتَ العار علىَ عائلتنا.,You have brought shame upon our family.
,,أنت الرجل الذي كنت أبحث عنه.,You are the man I've been looking for.
,,أنتً عليكَ فقط أن تعدُني بشيء واحد.,You just have to promise me one thing.
,,أنت في حال أفضل من حالي.,You're in better shape than I am.
,,أنت طويل و لكنه أطول.,"You are tall, but he is still taller."
,,أنت فيلسوف، أليس كذلك؟,"You're a philosopher, aren't you?"
,,إنك فيلسوف ، أليس ذلك صحيحاً؟,"You're a philosopher, aren't you?"
,,أبي اعتاد أن يكون رجلاً قوياً.,My father used to be a strong man.
,,والدي اعتاد أن يكون رجلاً قوياً.,My father used to be a strong man.
,,ذهب للمتجر في آخر لحظة، قبل الإغلاق بقليل.,"He went to the store at the last minute, just before it closed."
,,سأساعدك في توفير بعض الوقت.,I'm going to help you save some time.
,,سأخبرك بما أريد فعله.,I'll tell you what I want you to do.
,,سأذهب إلى فرنسا لأدرس الرسم.,I'll go to France to study painting.
,,سأحاول وضع أفكاري في كتاب.,I'll try to shape my ideas into a book.
,,إنها ستتزوج العام المقبل.,She'll be getting married next year.
,,هل تشرب كأسًا آخر من القهوة.,Will you drink another cup of coffee?
,,أتت إلى طوكيو عندما كان عمرها ثمانية عشر عاماً.,She came to Tokyo when she was 18.
,,إنها توّاقة إلى معرفة النتائج.,She's anxious to know the results.
,,أمسك الرجلُ الفتاةَ من معصمها.,The man caught the girl by the wrist.
,,"هل هو قادم؟، ""لا أظن أنه سيأتي.""","Is he coming? ""No, I don't think so."""
,,"إنهم أتون إلي منزلنا, نحن لن نذهب إلي منزلهم.",They're coming to our house. We aren't going to their house.
,,تزداد جمالاً يوماً بعد يوم.,She is getting prettier and prettier.
,,ألي بدليل الهاتف؟,May I see the telephone directory?
,,"أنتَ مخطئ, تلك ليست القضية.",You're wrong. That's not the case.
,,لقد وصلت إلى وجهتك.,You have reached your destination.
,,أنت مسؤول عمّا تفعل.,You are responsible for what you do.
,,هل تذكر رقم جواز سفرك؟,Do you remember your passport number?
,,هل تذكر رقم هاتفه؟,Do you remember his telephone number?
,,أمتأك من أنك تعرف كيف تفعل هذا؟,Are you sure you know how to do this?
